EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,EducationField,YearsAtCompany,MonthlyIncome,Attrition,OverTime,PerformanceRating,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,YearsInCurrentRole,YearsSinceLastPromotion,DistanceFromHomeKM
EMP-1001,23,Female,Single,Finance,Financial Analyst,Medical,2,4685,Yes,Yes,3,1,4,1,1,0,35
EMP-1002,50,Female,Single,Software Engineering,Software Engineer,Medical,14,9081,Yes,Yes,3,2,2,3,6,4,17
EMP-1003,51,Female,Married,R&D,R&D Manager,Life Sciences,18,17417,No,Yes,3,3,2,1,10,1,15
EMP-1004,39,Male,Married,R&D,Laboratory Technician,Medical,12,8546,No,No,3,3,1,2,8,6,18
EMP-1005,57,Male,Married,Finance,Finance Manager,Life Sciences,8,11610,No,Yes,4,3,4,3,6,1,32
EMP-1006,51,Male,Single,Software Engineering,Engineering Lead,Medical,18,16821,No,Yes,4,4,4,3,17,15,6
EMP-1007,31,Female,Divorced,R&D,Research Scientist,Technical Degree,10,6200,No,No,4,4,4,3,1,0,35
EMP-1008,43,Male,Married,Human Resources,HR Manager,Medical,15,14436,No,No,3,3,2,1,11,8,13
EMP-1009,32,Female,Divorced,Sales,Sales Representative,Life Sciences,11,8880,Yes,No,4,1,1,3,1,0,6
EMP-1010,53,Female,Divorced,R&D,R&D Manager,Medical,5,15259,No,No,4,2,3,4,2,2,20
EMP-1011,45,Male,Divorced,Software Engineering,Engineering Lead,Technical Degree,4,11358,No,No,3,1,3,1,2,0,5
EMP-1012,25,Male,Single,Finance,Finance Manager,Marketing,3,13341,No,No,3,3,4,2,3,3,16
EMP-1013,34,Male,Divorced,Software Engineering,DevOps Engineer,Technical Degree,12,9729,No,Yes,3,4,1,1,2,0,13
EMP-1014,50,Male,Single,Sales,Sales Manager,Marketing,15,16141,No,Yes,4,1,4,1,2,0,11
EMP-1015,52,Male,Married,Software Engineering,DevOps Engineer,Life Sciences,6,7204,No,Yes,3,4,3,4,6,6,32
EMP-1016,40,Male,Single,Sales,Sales Executive,Human Resources,18,9837,No,No,3,3,1,1,17,5,4
EMP-1017,33,Male,Single,Marketing,Marketing Specialist,Other,8,7947,Yes,No,3,2,1,1,5,1,21
EMP-1018,47,Male,Divorced,Sales,Sales Representative,Marketing,15,11595,Yes,No,3,1,1,4,9,3,33
EMP-1019,44,Female,Single,Human Resources,HR Executive,Marketing,10,7112,No,No,2,3,1,3,3,2,8
EMP-1020,57,Male,Married,R&D,R&D Manager,Human Resources,7,16037,Yes,Yes,4,2,3,4,6,3,18
EMP-1021,43,Female,Divorced,R&D,Research Scientist,Marketing,6,8565,No,Yes,4,4,1,1,2,2,3
EMP-1022,57,Male,Single,Human Resources,HR Manager,Life Sciences,10,15287,No,No,3,1,3,2,6,6,27
EMP-1023,31,Female,Single,Marketing,Marketing Manager,Medical,6,12813,No,No,4,2,3,4,2,1,11
EMP-1024,46,Female,Married,Finance,Financial Analyst,Medical,7,8643,No,Yes,3,3,2,2,3,2,5
EMP-1025,54,Male,Divorced,Human Resources,Recruitment Specialist,Marketing,1,4518,Yes,Yes,3,3,2,3,1,1,33
EMP-1026,58,Male,Single,R&D,Laboratory Technician,Other,14,7175,Yes,Yes,3,2,3,4,6,5,8
EMP-1027,54,Male,Married,Finance,Accountant,Marketing,13,9405,Yes,No,3,2,2,4,3,2,26
EMP-1028,41,Male,Married,Marketing,Marketing Specialist,Human Resources,20,11219,No,No,3,4,4,2,6,5,6
EMP-1029,43,Male,Single,Human Resources,HR Manager,Other,10,13900,Yes,Yes,4,2,2,1,2,1,27
EMP-1030,34,Female,Married,Finance,Finance Manager,Technical Degree,13,12929,Yes,Yes,4,1,1,4,8,0,16
EMP-1031,30,Female,Divorced,R&D,Laboratory Technician,Human Resources,9,9336,No,No,3,4,4,4,8,7,17
EMP-1032,39,Female,Divorced,Sales,Sales Manager,Technical Degree,8,12845,Yes,Yes,3,1,3,2,3,1,15
EMP-1033,31,Female,Single,Software Engineering,Engineering Lead,Technical Degree,10,14090,No,Yes,3,4,4,1,10,0,25
EMP-1034,44,Male,Married,Software Engineering,Software Engineer,Technical Degree,18,14045,Yes,Yes,3,2,4,2,13,11,11
EMP-1035,56,Male,Married,Software Engineering,Software Engineer,Human Resources,19,6671,No,Yes,3,4,2,4,11,3,30
EMP-1036,46,Male,Married,Human Resources,Recruitment Specialist,Marketing,3,7514,No,No,3,1,3,2,3,0,2
EMP-1037,23,Female,Single,Sales,Sales Executive,Medical,2,4725,No,No,3,2,4,3,1,0,20
EMP-1038,23,Female,Divorced,R&D,R&D Manager,Other,2,12531,No,Yes,3,2,1,2,1,0,23
